Date;Open;High;Low;Close
2003-01-01;67.05;67.06;67.05;67.06
2003-01-02;67.50;67.50;67.49;67.50
2003-01-03;67.98;67.98;67.98;67.98
2003-01-05;67.91;67.91;67.90;67.91
2003-01-06;68.69;68.69;68.68;68.68
2003-01-07;68.99;68.99;68.98;68.98
2003-01-08;68.71;68.71;68.70;68.70
2003-01-09;69.11;69.12;69.11;69.11
2003-01-10;69.58;69.59;69.56;69.57
2003-01-12;69.56;69.57;69.56;69.56
2003-01-13;69.67;69.69;69.67;69.69
2003-01-14;69.37;69.37;69.36;69.37
2003-01-15;69.42;69.42;69.42;69.42
2003-01-16;69.69;69.70;69.68;69.68
2003-01-17;69.70;69.73;69.70;69.73
2003-01-19;69.83;69.83;69.82;69.83
2003-01-20;69.95;69.95;69.94;69.95
2003-01-21;69.73;69.73;69.72;69.73
2003-01-22;69.74;69.74;69.73;69.73
2003-01-23;69.99;69.99;69.99;69.99
2003-01-24;69.81;69.81;69.80;69.80
2003-01-26;70.04;70.04;70.03;70.04
2003-01-27;69.83;69.84;69.83;69.84
2003-01-28;69.59;69.61;69.59;69.61
2003-01-29;69.74;69.74;69.74;69.74
2003-01-30;70.06;70.06;70.06;70.06
2003-01-31;70.41;70.43;70.41;70.43
2003-02-02;70.49;70.49;70.48;70.48
2003-02-03;70.51;70.51;70.50;70.51
2003-02-04;70.98;70.98;70.97;70.97
2003-02-05;70.75;70.76;70.75;70.76
2003-02-06;70.90;70.90;70.90;70.90
2003-02-07;71.03;71.04;71.02;71.04
2003-02-09;71.21;71.22;71.21;71.22
2003-02-10;71.43;71.44;71.43;71.43
2003-02-11;71.60;71.60;71.59;71.60
2003-02-12;71.47;71.48;71.47;71.47
2003-02-13;71.80;71.80;71.79;71.79
2003-02-14;71.26;71.27;71.26;71.27
2003-02-16;71.20;71.21;71.19;71.21
2003-02-17;70.48;70.49;70.48;70.48
2003-02-18;70.33;70.33;70.32;70.32
2003-02-19;70.88;70.88;70.87;70.88
2003-02-20;70.98;70.98;70.97;70.97
2003-02-21;71.00;71.00;71.00;71.00
2003-02-23;70.89;70.90;70.89;70.90
2003-02-24;71.41;71.42;71.37;71.37
2003-02-25;71.05;71.05;71.05;71.05
2003-02-26;71.20;71.20;71.19;71.19
2003-02-27;71.32;71.32;71.31;71.31
2003-02-28;71.94;71.94;71.94;71.94
2003-03-02;71.74;71.75;71.74;71.75
2003-03-03;72.27;72.28;72.27;72.28
2003-03-04;72.48;72.49;72.47;72.48
2003-03-05;72.13;72.13;72.13;72.13
2003-03-06;72.11;72.11;72.10;72.11
2003-03-07;71.83;71.84;71.83;71.84
2003-03-09;71.65;71.65;71.64;71.65
2003-03-10;71.83;71.84;71.82;71.83
2003-03-11;71.10;71.12;71.10;71.12
2003-03-12;69.94;69.96;69.94;69.95
2003-03-13;70.37;70.37;70.37;70.37
